Date,BTC_Price,BTC_Open,BTC_High,BTC_Low,BTC_Vol.,BTC_Change %
11/24/23,"37,852.00","37,280.00","37,963.00","37,248.00",1.35K,1.53%
11/23/23,"37,280.00","37,407.00","37,645.00","36,898.00",1.30K,-0.34%
11/22/23,"37,407.00","35,794.00","37,870.00","35,663.00",2.09K,4.51%
11/21/23,"35,794.00","37,451.00","37,638.00","35,791.00",2.68K,-4.42%
11/20/23,"37,451.00","37,368.00","37,731.00","36,824.00",1.65K,0.22%
11/19/23,"37,368.00","36,581.00","37,509.00","36,410.00",0.52K,2.15%
11/18/23,"36,581.00","36,631.00","36,849.00","36,234.00",0.34K,-0.14%
11/17/23,"36,631.00","36,161.00","36,730.00","35,886.00",0.88K,1.30%
11/16/23,"36,161.00","37,865.00","37,927.00","35,535.00",0.96K,-4.50%
11/15/23,"37,865.00","35,542.00","37,949.00","35,374.00",1.99K,6.54%
11/14/23,"35,542.00","36,511.00","36,756.00","34,860.00",2.05K,-2.65%
11/13/23,"36,511.00","37,042.00","37,410.00","36,390.00",1.23K,-1.43%
11/12/23,"37,042.00","37,141.00","37,215.00","36,760.00",0.45K,-0.27%
11/11/23,"37,141.00","37,301.00","37,405.00","36,720.00",1.22K,-0.43%
11/10/23,"37,301.00","36,699.00","37,500.00","36,369.00",0.95K,1.64%
11/09/23,"36,699.00","35,641.00","37,973.00","35,562.00",3.97K,2.97%
11/08/23,"35,641.00","35,455.00","36,065.00","35,111.00",0.70K,0.52%
11/07/23,"35,455.00","35,053.00","35,930.00","34,578.00",0.97K,1.15%
11/06/23,"35,053.00","35,064.00","35,323.00","34,798.00",0.37K,-0.03%
11/05/23,"35,064.00","35,100.00","35,399.00","34,532.00",0.61K,-0.10%
11/04/23,"35,100.00","34,751.00","35,296.00","34,647.00",0.72K,1.00%
11/03/23,"34,751.00","34,944.00","34,954.00","34,154.00",1.51K,-0.55%
11/02/23,"34,944.00","35,447.00","35,953.00","34,335.00",2.19K,-1.42%
11/01/23,"35,447.00","34,669.00","35,561.00","34,114.00",1.99K,2.24%
10/31/23,"34,669.00","34,490.00","34,730.00","34,111.00",1.39K,0.52%
10/30/23,"34,490.00","34,552.00","34,876.00","34,117.00",1.36K,-0.18%
10/29/23,"34,551.00","34,104.00","34,783.00","33,969.00",1.50K,1.31%
10/28/23,"34,104.00","33,942.00","34,494.00","33,906.00",0.75K,0.48%
10/27/23,"33,942.00","34,184.00","34,268.00","33,430.00",1.12K,-0.71%
10/26/23,"34,184.00","34,504.00","34,843.00","33,770.00",1.01K,-0.93%
10/25/23,"34,504.00","33,943.00","35,147.00","33,756.00",2.24K,1.65%
10/24/23,"33,943.00","33,069.00","35,175.00","32,852.00",5.30K,2.64%
10/23/23,"33,069.00","30,023.00","33,525.00","29,923.00",6.76K,10.15%
10/22/23,"30,023.00","29,922.00","30,225.00","29,704.00",0.50K,0.34%
10/21/23,"29,922.00","29,689.00","30,343.00","29,478.00",0.79K,0.78%
10/20/23,"29,689.00","28,745.00","30,232.00","28,619.00",3.15K,3.28%
10/19/23,"28,745.00","28,332.00","28,904.00","28,155.00",1.56K,1.46%
10/18/23,"28,332.00","28,410.00","28,978.00","28,171.00",1.02K,-0.27%
10/17/23,"28,410.00","28,524.00","28,624.00","28,109.00",0.83K,-0.40%
10/16/23,"28,524.00","27,168.00","30,067.00","27,129.00",4.31K,4.99%
10/15/23,"27,168.00","26,871.00","27,297.00","26,832.00",0.47K,1.11%
10/14/23,"26,871.00","26,875.00","26,995.00","26,830.00",0.36K,-0.01%
10/13/23,"26,875.00","26,795.00","27,140.00","26,700.00",0.85K,0.30%
10/12/23,"26,795.00","26,894.00","26,964.00","26,580.00",1.44K,-0.37%
10/11/23,"26,894.00","27,414.00","27,492.00","26,562.00",1.98K,-1.90%
10/10/23,"27,414.00","27,617.00","27,752.00","27,325.00",1.27K,-0.74%
10/09/23,"27,617.00","27,929.00","27,987.00","27,331.00",3.07K,-1.12%
10/08/23,"27,929.00","27,967.00","28,093.00","27,710.00",0.30K,-0.14%
10/07/23,"27,967.00","27,942.00","28,026.00","27,840.00",0.45K,0.09%
10/06/23,"27,942.00","27,418.00","28,268.00","27,200.00",1.62K,1.91%
10/05/23,"27,418.00","27,805.00","28,118.00","27,370.00",1.44K,-1.39%
10/04/23,"27,805.00","27,431.00","27,845.00","27,249.00",0.89K,1.36%
10/03/23,"27,431.00","27,526.00","27,700.00","27,211.00",0.77K,-0.35%
10/02/23,"27,526.00","28,008.00","28,566.00","27,345.00",2.08K,-1.72%
10/01/23,"28,008.00","26,980.00","28,100.00","26,973.00",1.83K,3.81%
09/30/23,"26,980.00","26,929.00","27,109.00","26,909.00",0.33K,0.19%
09/29/23,"26,929.00","27,046.00","27,263.00","26,745.00",1.06K,-0.43%
09/28/23,"27,046.00","26,391.00","27,300.00","26,368.00",1.07K,2.48%
09/27/23,"26,391.00","26,244.00","26,872.00","26,147.00",1.91K,0.56%
09/26/23,"26,244.00","26,330.00","26,410.00","26,129.00",0.90K,-0.33%
09/25/23,"26,330.00","26,299.00","26,465.00","26,045.00",1.17K,0.12%
09/24/23,"26,299.00","26,609.00","26,768.00","26,211.00",2.03K,-1.17%
09/23/23,"26,609.00","26,606.00","26,662.00","26,555.00",0.88K,0.01%
09/22/23,"26,606.00","26,594.00","26,749.00","26,532.00",2.04K,0.05%
09/21/23,"26,594.00","27,149.00","27,167.00","26,416.00",1.53K,-2.04%
09/20/23,"27,149.00","27,244.00","27,414.00","26,847.00",1.44K,-0.35%
09/19/23,"27,244.00","26,788.00","27,506.00","26,700.00",1.60K,1.70%
09/18/23,"26,788.00","26,547.00","27,452.00","26,444.00",2.87K,0.91%
09/17/23,"26,547.00","26,576.00","26,632.00","26,444.00",0.33K,-0.11%
09/16/23,"26,576.00","26,625.00","26,792.00","26,477.00",0.32K,-0.18%
09/15/23,"26,625.00","26,544.00","26,862.00","26,255.00",0.90K,0.31%
09/14/23,"26,544.00","26,238.00","26,832.00","26,151.00",2.56K,1.17%
09/13/23,"26,238.00","25,851.00","26,430.00","25,797.00",0.87K,1.50%
09/12/23,"25,851.00","25,183.00","26,566.00","25,152.00",2.49K,2.65%
