Date,Actual_Prices,Predicted_Prices
2022-11-17,-0.44407766695799644,-0.39136356
2022-11-18,-0.4484762199377919,-0.41173288
2022-11-21,-0.5022500789020524,-0.40740108
2022-11-22,-0.4744338776636273,-0.4287109
2022-11-23,-0.4494054916940867,-0.4310969
2022-11-25,-0.4556006367360522,-0.42128605
2022-11-28,-0.4744338776636273,-0.44384882
2022-11-29,-0.4597513839141691,-0.3892632
2022-11-30,-0.414526825107821,-0.4382981
2022-12-01,-0.4270410180925913,-0.40310362
2022-12-02,-0.4201644070960096,-0.4298369
2022-12-05,-0.4274127267951092,-0.40877867
2022-12-06,-0.41985464984391135,-0.36659974
2022-12-07,-0.4354664153496644,-0.40148792
2022-12-08,-0.4105619322809631,-0.44041276
2022-12-09,-0.4174385432775448,-0.42820033
2022-12-12,-0.41167705838851687,-0.4137407
2022-12-13,-0.3771701005047691,-0.34541166
2022-12-14,-0.37562131424427775,-0.35443777
2022-12-15,-0.4027560495280866,-0.3326012
2022-12-16,-0.44798060833443465,-0.3684618
2022-12-19,-0.45999918971584774,-0.4158206
2022-12-20,-0.4304483478656723,-0.46003187
2022-12-21,-0.43540446389924475,-0.46654212
2022-12-22,-0.4358381240521823,-0.40064985
2022-12-23,-0.4380683762672899,-0.42104173
2022-12-27,-0.4432103466521212,-0.4148511
2022-12-28,-0.4531845301696857,-0.45677298
2022-12-29,-0.4469893851277202,-0.4471574
2022-12-30,-0.4494674431445064,-0.42345148
2023-01-03,-0.4450688901647109,-0.45455492
2023-01-04,-0.4339795805395927,-0.44959944
2023-01-05,-0.4355903182505037,-0.44543493
2023-01-06,-0.42784638694804683,-0.48117483
2023-01-09,-0.4141551164053031,-0.46631324
2023-01-10,-0.39823359364745176,-0.45719984
2023-01-11,-0.36719591698720466,-0.43545657
2023-01-12,-0.310758145654899,-0.40190494
2023-01-13,-0.24409838500335035,-0.3761907
2023-01-17,-0.16957079014850548,-0.36712712
2023-01-18,-0.19794455444070744,-0.122507006
2023-01-19,-0.17304007137200614,-0.27741706
2023-01-20,-0.07441336230391551,-0.30139968
2023-01-23,-0.05966891710403765,-0.12097624
2023-01-24,-0.07720117757279998,0.060135376
2023-01-25,-0.051305471297384234,0.028718267
2023-01-26,-0.05384548076459009,0.124218136
2023-01-27,-0.049942539388151824,0.07943137
2023-01-30,-0.06419137298467245,0.107207045
2023-01-31,-0.04572984075961529,0.16619049
2023-02-01,-0.009302387912858198,0.17945057
2023-02-02,-0.024046833112736067,0.05267198
2023-02-03,-0.027268308534558125,0.1484099
2023-02-06,-0.06927139191908416,0.01845849
2023-02-07,-0.03854347251093532,-0.021455206
2023-02-08,-0.056633296033474556,0.010539163
2023-02-09,-0.1284350270698546,0.036159568
2023-02-10,-0.13816140478574043,0.07950635
2023-02-13,-0.13010771623118528,-0.1357069
2023-02-14,-0.10377834980283195,-0.010087121
2023-02-15,0.027558725086836478,-0.0102403015
2023-02-16,-0.02094926059175332,0.12377763
2023-02-17,0.043728053646366415,0.2323133
2023-02-21,0.03635583104642748,0.050619908
2023-02-22,0.01938113363144203,0.024303632
2023-02-23,0.004574736981144504,0.035556287
2023-02-24,-0.04164104503191807,0.08672686
2023-02-27,-0.022869755554762623,0.052646186
2023-02-28,-0.045791792210034946,0.080901936
2023-03-01,-0.014072649595171627,-0.007975925
2023-03-02,-0.024852201968191583,-0.06344347
2023-03-03,-0.09355636048358888,0.012713328
2023-03-06,-0.09101635101638303,-0.040242154
2023-03-07,-0.10309688384821575,-0.11568716
2023-03-08,-0.13388675470678424,-0.14679013
2023-03-09,-0.2165299895666039,-0.18581584
2023-03-10,-0.22749539629088283,-0.17684768
2023-03-13,0.019443085081861683,-0.2816745
2023-03-14,0.05395004296560947,-0.13337936
2023-03-15,0.027744579438095444,0.07725811
2023-03-16,0.07334084694696147,0.06697443
2023-03-17,0.21539552275923018,0.25909027
2023-03-20,0.23782194781114527,0.3791721
2023-03-21,0.26260252797900724,0.40311763
2023-03-22,0.21000574657272023,0.46144372
2023-03-23,0.274497206459581,0.43095946
2023-03-24,0.22208627940455292,0.4911414
2023-03-27,0.20170425221648647,0.51369834
2023-03-28,0.21012964947355953,0.40781248
2023-03-29,0.27697526447636717,0.3864491
2023-03-30,0.25671714018914005,0.48814604
2023-03-31,0.28416163272504713,0.40640253
2023-04-03,0.24265416094387834,0.4542849
2023-04-04,0.2651425374462131,0.3062663
2023-04-05,0.2651425374462131,0.45579836
2023-04-06,0.2567790916395597,0.47673145
2023-04-10,0.3556536065093289,0.48198146
2023-04-11,0.39133764195105014,0.5438535
2023-04-12,0.37188488651927853,0.5285006
2023-04-13,0.4036659805845615,0.49044666
2023-04-14,0.4081884364651963,0.56072325
2023-04-17,0.34450234543379105,0.59337413
2023-04-18,0.40385183493582044,0.5030242
2023-04-19,0.30683586357864084,0.53195006
2023-04-20,0.2710279252360803,0.5096036
2023-04-21,0.21149258138279192,0.43690827
2023-04-24,0.22605117223141083,0.48499507
2023-04-25,0.2757362354679741,0.3899064
2023-04-26,0.28248894356371645,0.40102565
2023-04-27,0.3472901607026755,0.43243724
2023-04-28,0.33855500619350415,0.435858
2023-05-01,0.26223081927648934,0.46034575
2023-05-02,0.2977290003669516,0.45201597
2023-05-03,0.31990761961718805,0.2125532
2023-05-04,0.30795098968619466,0.3559363
2023-05-05,0.3502018788723993,0.38672557
2023-05-08,0.23714048185652906,0.36405516
2023-05-09,0.23509608399268045,0.4528168
2023-05-10,0.23224631727337633,0.3551987
2023-05-11,0.19470373831906546,0.32119346
